latitude	longitude	uid_gem	sector	capacity_unit	asset_name	country	start_year_first	capacity_first	start_year	capacity	number_units
25.7698	106.9776	L809830	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Pingtan Tongzhou Leyang Agriculture solar farm	China	2023.0	100.0	[2023.0]	[100.0]	1
25.7712	112.7455	L918082	wind power/onshore	mw	Hunan Guiuang Ouyanghai wind farm	China	2021.0	50.0	[2021.0]	[50.0]	1
25.7712	112.7455	L918084	wind power/onshore	mw	Hunan Guiyang Guangming wind farm	China	2020.0	80.0	[2020.0]	[80.0]	1
25.7769	103.4206	L829255	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Xundian Yinwu solar farm	China	2023.0	43.0	[2023.0]	[43.0]	1
25.7773	-98.7497	L905056	wind power/onshore	mw	Ventika wind farm	Mexico	2016.0	126.0	[2016.0]	[126.0]	1
25.7803	100.3663	L829037	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Binchuan Dongjiadi (Datang) solar farm	China	2017.0	40.0	[2017.0]	[40.0]	1
25.7842	105.4691	L809753	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Guanling Jiangxiping (Shenyang) solar farm	China	2020.0	150.0	[2020.0]	[150.0]	1
25.785	100.4602	L829043	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Binchuan Yanping (SDIC) Agriculture solar farm	China	2018.0	20.0	[2018.0]	[20.0]	1
25.7861	100.4627	L802577	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Binchuan Dayingzhen Bainigou solar farm	China	2016.0	30.0	[2016.0]	[30.0]	1
25.7886	100.463	L803263	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Binchuan Daying Datang solar farm	China	2015.0	30.0	[2015.0]	[30.0]	1
25.792	103.7589	L829346	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Zhanyi Lingjiao Agriculture solar farm	China	2023.0	100.0	[2023.0]	[100.0]	1
